City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,caucaia,-3.7361,-38.6531,88.07,63,20,20.71,BR,1635354663
316,hamilton,39.1834,-84.5333,55.98,69,20,1.01,US,1635354396
317,lavrentiya,65.5833,-171,14.58,74,83,7.72,RU,1635354517
318,sioux lookout,50.1001,-91.917,44.98,75,100,10.31,CA,1635354664
319,narsaq,60.9167,-46.05,35.82,65,0,3.53,GL,1635354664
320,buraydah,26.326,43.975,82.74,11,96,11.07,SA,1635354597
321,madang,-5.2246,145.7966,76.91,90,95,1.34,PG,1635354664
322,lagos,6.5833,3.75,80.65,80,80,5.12,NG,1635354438
323,princeton,25.5384,-80.4089,90.01,69,40,8.05,US,1635354665
324,avera,33.194,-82.5271,66.07,31,65,4.45,US,1635354631
325,penzance,50.1186,-5.5371,58.77,91,83,26.75,GB,1635354665
326,jimenez,28.3333,-105.4,65.14,23,0,11.77,MX,1635354665
327,pathein,16.7833,94.7333,76.82,86,56,1.32,MM,1635354666
328,nevesinje,43.2586,18.1133,45.07,72,13,7.47,BA,1635354543
329,vila franca do campo,37.7167,-25.4333,68.41,91,100,13.67,PT,1635354666
330,rewari,28.1833,76.6167,78.01,41,0,3.67,IN,1635354666
331,chama,47.1821,8.4636,52.23,85,20,2.3,CH,1635354666
332,qaqortoq,60.7167,-46.0333,36.1,66,0,2.51,GL,1635354667
333,novorzhev,57.0294,29.3338,45.79,88,100,11.68,RU,1635354667
334,bergama,39.1207,27.1805,60.06,72,0,10.94,TR,1635354667
335,nome,64.5011,-165.4064,21.27,68,90,10.36,US,1635354484
336,krutaya gorka,55.3649,73.2231,31.68,64,97,7.36,RU,1635354668
337,albuquerque,35.0845,-106.6511,55.27,37,20,5.01,US,1635354376
338,rognan,67.0953,15.3878,39.34,73,100,8.3,NO,1635354668
339,lompoc,34.6391,-120.4579,72.57,51,1,6.91,US,1635354426
340,ambilobe,-13.2,49.05,76.53,72,89,2.62,MG,1635354668
341,ulaangom,49.9811,92.0667,36.34,61,100,0.6,MN,1635354668
342,caravelas,-17.7125,-39.2481,81.63,60,98,10.67,BR,1635354565
343,kamaishi,39.2667,141.8833,55.09,84,34,5.99,JP,1635354669
344,beringovskiy,63.05,179.3167,7.05,89,95,18.41,RU,1635354669
345,fortuna,40.5982,-124.1573,61.93,72,90,1.01,US,1635354669
346,bairnsdale,-37.8333,147.6167,54.7,93,87,4.99,AU,1635354669
347,parabel,58.6978,81.4825,25.57,83,8,9.37,RU,1635354670
348,vuktyl,63.8567,57.3094,26.62,95,100,12.88,RU,1635354670
349,bargarh,21.3333,83.6167,75.72,67,83,3.06,IN,1635354670
350,richards bay,-28.783,32.0377,67.41,76,93,8.21,ZA,1635354670
351,kurilsk,45.2333,147.8833,48.49,85,23,8.01,RU,1635354533
352,lucapa,-8.4192,20.7447,74.46,67,97,2.42,AO,1635354671
353,tual,-5.6667,132.75,83.84,76,47,9.35,ID,1635354671
354,pimentel,-6.8367,-79.9342,70.09,64,0,14.97,PE,1635354671
355,kisaran,2.9845,99.6158,74.39,97,79,2.93,ID,1635354672
356,leeuwarden,53.2014,5.8086,58.12,87,90,13.8,NL,1635354672
357,baoro,5.6667,15.9667,72.27,89,97,2.59,CF,1635354672
358,kiama,-34.6833,150.8667,63,92,85,3.33,AU,1635354672
359,lapi,17.716,121.8978,72.16,94,14,2.44,PH,1635354673
360,troitskoye,52.9821,84.6757,30.52,47,97,3.2,RU,1635354673
361,bowen,-20.0167,148.2333,76.24,77,3,10.2,AU,1635354673
362,shenjiamen,29.9576,122.298,66.06,61,33,9.48,CN,1635354593
363,grindavik,63.8424,-22.4338,41.47,87,40,9.22,IS,1635354674
364,hami,42.8,93.45,50.02,32,0,3.02,CN,1635354472
365,saint george,37.1041,-113.5841,57.67,55,1,3,US,1635354674
366,bayir,37.2687,28.2167,57.72,79,49,0.76,TR,1635354674
